Возраст,Пол,Состоит.в.браке,Иждивенцы,Доход,Опыт.работы,Срок.проживания,Недвижимость,Месячный.платеж
37,1,1,2,26500,2.5,26,29,2716
29,1,0,1,9200,11.0,16,0,2460
25,0,0,1,13000,7.0,5,35,6458
30,0,0,0,7500,10.0,22,36,6970
38,0,1,0,12000,15.5,6,0,6355
22,1,1,0,11500,4.0,22,43,2152
49,1,1,1,18800,5.0,4,32,4818
39,0,1,0,8500,20.5,6,0,3143
34,0,1,1,17000,12.5,19,0,2187
25,0,0,2,9000,7.0,22,0,3075
28,1,0,1,5200,10.0,3,25,4920
35,0,1,0,8000,12.5,15,0,5330
36,1,1,2,8500,6.0,19,0,2870
24,0,0,0,6100,6.0,24,38,3280
32,0,0,1,18500,14.0,6,0,3417
35,0,1,2,9500,16.5,13,9,4818
28,0,0,0,10000,10.0,18,0,4100
34,0,0,0,8000,16.0,4,0,6662
23,0,0,3,18200,5.0,9,0,2972
35,1,0,0,13500,17.0,35,57,4510
24,1,1,2,16500,6.0,6,0,7072
35,0,0,1,8500,17.0,26,0,1982
34,0,1,1,11500,15.5,3,0,2716
39,1,0,2,15000,18.5,19,0,4305
35,0,0,0,9500,16.0,7,0,2118
30,0,1,0,23500,9.0,8,0,3382
29,1,1,1,2500,10.5,2,32,1777
28,0,0,0,8500,10.0,25,0,2733
36,0,0,0,29000,18.0,6,0,6765
31,0,1,2,15300,13.0,2,0,2768
33,1,0,2,16500,15.0,3,0,3895
25,0,0,2,12500,7.0,17,0,1948
36,0,1,2,6500,15.5,11,0,1691
37,1,1,1,15000,7.0,4,0,2870
24,0,1,1,9500,8.5,24,0,2255
22,0,0,0,13000,4.0,5,0,2306
34,0,0,1,10200,15.0,2,41,3280
33,0,1,1,9000,10.5,2,27,1913
27,0,0,1,10000,9.0,23,33,4920
24,0,1,0,11000,6.0,17,33,2460
27,0,1,1,12800,5.0,3,10,7482
34,1,1,0,8000,9.0,22,56,3348
33,0,0,0,32000,15.0,2,0,4373
40,1,0,1,10100,22.0,5,0,3485
37,0,1,0,12900,14.0,12,0,3895
24,0,1,0,14000,6.0,8,0,2802
35,0,1,1,5500,16.5,35,27,2358
36,1,1,0,32000,17.0,32,39,2562
38,0,1,1,8500,15.5,7,0,3895
34,0,0,0,33000,16.0,6,0,2972
34,1,1,2,27000,15.5,21,0,2152
36,1,1,1,9000,17.5,6,0,6252
28,0,1,0,13500,10.0,7,45,4100
25,0,0,0,5500,7.0,2,0,1742
31,0,0,2,7000,11.0,3,0,3126
31,1,1,1,15000,12.0,9,0,4612
53,0,0,0,14500,15.5,38,38,3998
33,0,1,1,14500,15.0,25,13,4100
30,1,1,2,9500,12.0,30,35,4612
50,0,1,1,12800,29.0,29,0,1845
31,1,1,0,12500,13.0,5,25,8098
35,0,1,1,9500,5.0,10,0,3075
29,0,1,2,6200,11.0,25,0,1691
37,1,1,1,7000,14.0,22,0,2323
29,1,1,1,38400,9.0,22,0,5603
29,0,1,1,29000,11.0,29,0,6765
