"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
28;1;1;0;9000;9;7;0;3946;0
39;0;1;1;13500;17;6;0;2460;1
31;0;0;2;7000;11;3;0;3126;0
34;0;0;1;10200;15;2;41;3280;1
46;1;1;2;8500;20;8;0;3348;1
30;1;1;2;9500;12;30;35;4612;0
47;0;0;2;7900;14.5;6;67;2870;0
33;0;0;2;12600;15;23;0;2050;1
22;0;0;0;34000;4;19;33;2562;1
30;0;1;1;33000;10;8;0;1948;1
26;0;1;1;13500;8;2;31;5535;1
48;0;0;2;24000;22;40;40;1845;1
37;0;1;1;12500;15.5;6;18;2409;1
27;0;1;1;4000;9;6;0;4305;0
55;0;1;1;5500;11.5;35;28;3382;0
39;1;0;1;8000;6;8;0;4818;0
29;0;1;1;11000;11;29;38;5228;1
36;0;0;1;11600;18;13;0;4373;1
32;0;1;1;8500;14;28;0;2101;1
35;1;0;0;4500;16;33;0;1913;0
46;0;1;1;9000;16;28;0;718;1
22;0;1;1;4000;3;20;21;6252;0
37;0;1;2;29000;12;6;0;4612;1
56;1;1;0;29000;19;36;34;4237;1
34;0;0;1;26000;16;5;40;6662;1
40;0;0;2;10500;20.5;2;25;3895;0
33;0;0;1;10700;15;3;24;4612;0
37;0;1;2;35000;17.5;31;0;3485;1
24;0;1;0;11500;6;8;0;2972;1
30;0;1;2;15500;6;6;20;1435;1
32;0;0;1;11300;14;28;0;6560;0
25;0;0;2;12500;7;17;0;1948;1
37;0;0;0;18200;17.5;36;0;3382;1
33;1;0;2;16500;15;3;0;3895;1
24;0;1;1;12500;6;14;0;2101;1
41;0;1;2;29800;13.5;28;0;3895;1
28;1;0;2;25000;7;15;0;4237;1
35;1;0;3;8500;12;23;0;5842;0
32;1;0;0;33000;14;26;0;4920;1
35;0;0;0;17500;6;5;0;2562;1
37;0;1;0;17000;13.5;6;0;3143;1
32;0;0;1;18700;14;2;0;3998;1
37;0;0;2;6000;19;11;0;3007;0
27;1;1;0;12500;9;21;25;8098;0
50;0;1;0;31800;23.5;17;0;3690;1
28;0;1;1;5100;2.5;7;25;2870;0
24;0;1;1;2100;6;12;27;1896;0
49;1;1;0;11000;27;4;32;4510;1
30;1;0;1;10000;12;11;0;5228;0
35;1;0;0;13500;17;35;57;4510;1
34;0;1;1;9500;16;34;23;5740;0
23;1;1;2;15500;5;7;70;6868;0
25;0;0;1;12000;7;6;0;2255;1
34;0;0;0;13500;4;20;0;2768;1
38;0;0;2;14000;18.5;20;0;3178;1
40;0;1;1;7000;20;3;39;6765;0
35;0;0;1;27000;7;27;0;2562;1
53;0;1;0;17000;31;51;10;3588;1
22;0;1;0;10000;3;22;29;2870;1
27;0;0;0;10000;9;27;25;3178;1
33;0;1;1;9000;10.5;3;0;2050;1
39;0;1;2;7000;20.5;5;0;4920;0
27;0;0;0;12000;6;27;0;3690;1
30;0;1;1;12000;2;17;0;1999;1
35;1;1;1;7500;6.5;35;36;3024;0
49;1;1;1;18800;5;4;32;4818;1
40;1;1;1;7400;17.5;23;0;1025;1
40;0;1;0;9500;17.5;2;0;5740;0
34;0;0;0;14500;9;3;0;2050;1
40;0;0;1;11000;18;40;30;3212;1
35;1;0;2;12500;16;7;21;6048;0
29;1;1;0;8000;11;6;27;2358;1
26;0;1;3;34500;8;15;0;4715;1
22;1;1;1;7000;3;20;43;4168;0
35;0;1;1;15500;6.5;20;38;3485;1
45;0;1;2;11500;19.5;3;35;3485;1
34;0;0;1;3500;16;34;0;3024;0
40;1;0;1;10100;22;5;0;3485;0
24;1;1;2;8800;12;8;0;3792;0
46;0;1;3;10500;17.5;25;0;4202;0
30;1;0;2;13000;5;21;0;2716;1
22;0;1;0;10500;4;22;32;1896;1
